UID,Ban_by,UID,Gender,Name,Intro,Locale,Service,Caught(TPE)
4169008,harry,女,曉雯,沒辦微信，賴xwqwe,zh-TW,Data Communication Business Group,2019-10-14 16:28:20 +0800
4168960,harry,女,賴yy09336,"跳舞, 唱歌, 攝影, 旅遊, ",zh-TW,Data Communication Business Group,2019-10-07 17:49:06 +0800
3582042,harry,女,子涵,沒辦微信，賴zh9801,zh-TW,Data Communication Business Group,2019-10-07 18:13:46 +0800
3698026,harry,女,詩琪,"嗨 這邊不聊 交友直接賴sq808
",zh-TW,"Amazon.com, Inc.",2019-10-07 18:36:08 +0800
4164630,harry,女,馨懿賴yd8989,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 看影集, 打麻將, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 17:49:11 +0800
4141478,harry,女,雨婷交友賴mm9605,嗨   感覺不錯可以認識一下呀  我叫雨婷   賴mm9605,zh-TW,Data Communication Business Group,2019-10-07 18:01:29 +0800
4163947,harry,女,哈嘍交友加賴喔  QIANQIAN111,"陽光覆滿這一刻寧靜的我,隔絕了喧器和冷漠,誰能聽見誰的寂寞,找一個人惺惺相惜,找一顆心心心相印...LENE  QIANQIAN111",zh-TW,Data Communication Business Group,2019-10-07 17:47:58 +0800
4163830,harry,女,真誠交友聊天加賴（juan518）紫鵑 ,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 17:49:43 +0800
4163330,harry,女,晴兒賴lq162,,zh-TW,TISP LIMITED,2019-10-07 17:49:47 +0800
4116319,harry,男,洨月兔,"183/75 孤單寂寞了嗎？
想聊天的就打給我^_^
換賴認識交友見面
徵書友、球友(羽球）
—————————————-
麻煩騷給我聽
如果你夠m又欠肏的話^_^",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-07 18:20:50 +0800
3988373,harry,女,思思,我對我自己的聲音不是很有信心耶 我們文字就好了 也可以加我賴聊哦：csy816,zh-TW,Data Communication Business Group,2019-10-07 16:23:33 +0800
4129847,harry,女,雅雅賴dk266,這個不常用 方便加賴聊喔dk266,zh-TW,Data Communication Business Group,2019-10-07 18:01:43 +0800
4157298,harry,女,誠意交友加紫鵑賴（juan518）賴我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 17:49:52 +0800
4157267,harry,女,誠實聊天加紫鵑賴（juan518）密我哦,,zh-TW,Data Communication Business Group,2019-10-07 17:49:56 +0800
4157247,harry,女,紫鵑真誠交友加賴（juan518）密我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,TBC,2019-10-07 18:26:56 +0800
4157222,harry,女,紫鵑誠實交友加賴（juan518）密我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,GCNet (Reach & Range Inc.),2019-10-07 18:26:59 +0800
4157199,harry,女,真誠交友加紫鵑賴（juan518）密我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 18:27:02 +0800
4157145,harry,女,聊天加紫鵑賴（juan518）密我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-08 17:04:31 +0800
4141730,harry,女,賴bgz3542,,zh-TW,"Linode, LLC",2019-10-07 18:01:27 +0800
4156223,harry,女,哈嘍交友加賴喔  QIANQIAN111,哈嘍大家好我剛玩這個平台麻煩大家多多關照喔 交友加賴喔  QIANQIAN111,zh-TW,Data Communication Business Group,2019-10-07 18:18:32 +0800
2772399,harry,女,賴cola12311,套房➕cola12311,zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-07 18:06:18 +0800
4155337,harry,男,約ㄆ友中,"有興趣加賴foeve0604
不談金錢純找ㄆ友
直接賴約
",zh-TW,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),2019-10-07 18:18:41 +0800
2453250,harry,男,賴redshadow44,,zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-07 18:06:39 +0800
4154180,harry,女,琪琪賴qq870219,,zh-TW,Data Communication Business Group,2019-10-07 16:49:23 +0800
4154111,harry,女,琪琪賴qq870219,,zh-TW,Data Communication Business Group,2019-10-07 16:49:25 +0800
4153599,harry,女, 琪琪賴qq870219,,zh-TW,CHINA UNICOM China169 Backbone,2019-10-07 16:49:27 +0800
4153600,harry,女,小雅賴766re,"跳舞, 唱歌, 籃球, 電影, 攝影, 旅遊, 打麻將, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 18:00:53 +0800
4153584,harry,女,琪琪賴qq870219,,zh-TW,Data Communication Business Group,2019-10-07 16:49:28 +0800
4141203,harry,女,琪琪賴qq870219,聊天交友加賴hljkl,zh-TW,Data Communication Business Group,2019-10-07 16:49:29 +0800
4151507,harry,女,賴kp696,,zh-TW,Data Communication Business Group,2019-10-07 18:01:05 +0800
2737254,harry,女,小沐,我是一個樂觀開朗的女生喜歡交朋友 也想找個他 你會是我的那個他嗎 加賴hg4888,zh-TW,Data Communication Business Group,2019-10-07 16:24:35 +0800
4150488,harry,女,晗晗賴266y,,zh-TW,HKT Limited,2019-10-07 18:01:19 +0800
4149614,harry,女,賴jq0515,,zh-TW,Data Communication Business Group,2019-10-07 18:01:15 +0800
4149462,harry,女,賴 xkt537,聊天交友 加賴 xkt537,zh-TW,"Linode, LLC",2019-10-07 18:01:12 +0800
4148257,harry,女,加紫鵑賴（juan518）密我哦,"跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 逛街, ",zh-TW,Data Communication Business Group,2019-10-07 18:01:10 +0800
4146766,harry,男,TT,+賴 csh3344,zh-TW,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,2019-10-07 18:18:48 +0800
4127332,harry,男,小賢,"手機貼膜可以找我喔~
賴（mike582066）",zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-07 18:20:58 +0800
4146216,harry,男,三尾牛,"酒，菸🚬，刺青，大方，說走就走，低沈嗓，好相處，神調皮😝！愛釣魚🎣，只要妳喜歡吃蝦🦐立刻釣三斤讓妳吃到吐😂歡迎買可樂長17，寬12😄最少3次，歡迎👏（不知道什麼屬性，求開發🤔）賴d999704141，性慾太強不喜勿近～可以別TM再⚡️❤️了嗎🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄～（阿審核照片是要多久..）阿甘...我明明很好聊..歡迎問問題🙄
找女友，能疼，能愛❤️，能呵護，不離不棄，重點那個來肯喝我親手煮的薑茶&熱可可😝",zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-07 18:19:53 +0800
264486,harry,男,賴mpmphphp,"攝影, 風景, 遊山玩水, 電影, 動漫",zh-TW,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),2019-10-07 18:07:28 +0800
4115539,harry,女,賴jq0515,,zh-TW,Data Communication Business Group,2019-10-07 18:01:55 +0800
4113563,harry,女,蘇珊,"聊天交友加我賴su9431
",zh-TW,Data Communication Business Group,2019-10-07 18:32:17 +0800
4140277,harry,男,加賴a0986740116,,zh-TW,Data Communication Business Group,2019-10-07 18:01:32 +0800
3796270,harry,女,雪兒,單身交友 喜歡加賴hg4888,zh-TW,"No.31,Jin-rong Street",2019-10-07 16:24:34 +0800
2270865,harry,男,高雄真心賴ann7shan,"唱歌, 電影, 吃美食",zh-TW,Ambit Microsystem Corporation,2019-10-07 18:06:28 +0800
4136473,harry,女,加賴xxwer聊,Line：xxwer 加了記得打招呼哦,zh-TW,Data Communication Business Group,2019-10-07 18:01:37 +0800
4127333,harry,女,香香半晚1：30誰陪吃爭鮮火鍋,"  
直白😁活潑😁
電愛❌炮友❌加賴❌
走心路線❌身高體重年齡❌
文字聊聊天💫.喜歡聽故事🍹被掛電話別想多別在意，愛於文字聊",zh-TW,Mobile Business Group,2019-10-07 18:20:11 +0800
3542803,harry,女,紫熙賴.663fu,,zh-TW,Data Communication Business Group,2019-10-07 18:06:10 +0800
4078546,harry,女,紫熙賴.663fu,,zh-TW,Data Communication Business Group,2019-10-07 18:02:01 +0800
3861136,harry,女,紫熙賴663fu,,zh-TW,Data Communication Business Group,2019-10-07 18:05:47 +0800
4078276,harry,女,曉雯賴xwqwe,,zh-TW,Data Communication Business Group,2019-10-07 18:02:05 +0800
3958900,harry,女,瀨yh223,"真心找男友賴 yh223 唱歌, 跳舞, 電影, 旅遊,",zh-TW,Digital United Inc.,2019-10-08 11:58:48 +0800
3992133,harry,女,子涵,"喜歡聊天交友
逛街
吃美食
看看書
運動
陽光，
愛瘋
沒有辦微信，交友可以加賴zh9801",zh-TW,Data Communication Business Group,2019-10-07 18:13:43 +0800
4059954,harry,女,雅雅賴dk266,,zh-TW,Data Communication Business Group,2019-10-07 18:02:23 +0800
4076424,harry,女,紫璇賴ndyx2816,,zh-TW,Data Communication Business Group,2019-10-07 18:02:12 +0800
2515559,harry,女,小小奶,"聊天 掛睡 電愛
賴13140989",zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-14 12:18:27 +0800
4075615,harry,女,喜歡加賴啊123456hiw,,zh-TW,Data Communication Business Group,2019-10-07 18:03:06 +0800
3759512,harry,女,萱萱賴w811,,zh-TW,Data Communication Business Group,2019-10-07 18:05:56 +0800
3950635,harry,女,賴 lq9607,,zh-TW,Data Communication Business Group,2019-10-07 18:05:23 +0800
3923441,harry,女,看照賴,瀨➕入：XTMY,zh-TW,Data Communication Business Group,2019-10-07 18:05:28 +0800
4042518,harry,女,束jq0515負,"賴jq0515，我叫小雅 20歲  161 49 34D！可以認識嗎跳舞, 唱歌, 電影, 吃美食, 旅遊, 聽音樂, 看影集, 逛街,",zh-TW,HKT Limited,2019-10-08 16:33:02 +0800
4074361,harry,女,賴jq0515,,zh-TW,Data Communication Business Group,2019-10-07 18:04:38 +0800
4074317,harry,女,夢瑤,我是一個愛笑喜歡運動 旅遊 音樂的女生 喜歡交友聊天的加我賴bmw975,zh-TW,"Sky Digital Co., Ltd.",2019-10-07 18:33:27 +0800
2203820,harry,女,束yywwxo負,"跳舞, 唱歌, 聽音樂, 逛街, 旅遊, 賴jq0515",zh-TW,Data Communication Business Group,2019-10-14 11:09:30 +0800
4074259,harry,女,賴jq0515,,zh-TW,Data Communication Business Group,2019-10-07 18:04:47 +0800
4074036,harry,女,婷妹✿,約愛加賴：cy19871221,zh-TW,"Amazon.com, Inc.",2019-10-07 18:22:00 +0800
4058424,harry,女,未來男朋友,"長的你喜歡的類型🤭加了就知道了
賴smile970012 
微信love970012
快來聊天啦",zh-TW,Mobile Business Group,2019-10-07 18:22:16 +0800
1891264,harry,女,看我大棒棒射精加賴164kk ت,"聽音樂, 看影集, 打麻將, ",zh-TW,Ambit Microsystem Corporation,2019-10-07 18:06:49 +0800
4071470,harry,女,迪克,賴 dick40149z 加我,zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-07 18:22:05 +0800
4070379,harry,女,曉雯賴xwqwe,,zh-TW,Data Communication Business Group,2019-10-07 18:02:26 +0800
4068568,harry,女,妮妮line:nn6669,沒有會員喔  可以加我賴nn6669,zh-TW,Data Communication Business Group,2019-10-07 18:22:09 +0800
2710612,harry,女,Lineqoo5566x,"172/63
台北人
大頭貼無法顯示
賴qoo5566x",zh-TW,SaveCom Internation Inc.,2019-10-07 18:24:47 +0800
3916472,harry,女,妮妮賴：nn6668,,zh-TW,Data Communication Business Group,2019-10-07 18:05:33 +0800
3143131,harry,女,安娜,我是一個喜歡運動 旅行 音樂 購物 愛笑的女孩 喜歡交友聊天加我賴bmw975,zh-TW,"Sky Digital Co., Ltd.",2019-10-14 17:37:29 +0800
4067472,harry,女,林依看簡介,賴ly971,zh-TW,Data Communication Business Group,2019-10-07 18:33:33 +0800
2725725,harry,女,薔薇,喜歡交友聊天加賴qw41,zh-TW,"Linode, LLC",2019-10-07 18:36:27 +0800
4067317,harry,女,開心看我,➕賴驚喜不斷（XTMY）,zh-TW,Data Communication Business Group,2019-10-14 11:56:21 +0800
4066866,harry,女,婉蓉,交友加賴哦lwr9966,zh-TW,"Linode, LLC",2019-10-07 18:33:38 +0800
4066695,harry,女,詩雅,我不經常在這裡，喜歡詩雅的可以加賴yt570,zh-TW,Data Communication Business Group,2019-10-14 16:40:27 +0800
2515547,harry,女,奶小,"電愛 掛睡 聊天
賴0908632665",zh-TW,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),2019-10-14 16:52:50 +0800
2673555,harry,女,賴:a95520122321,北屯,zh-TW,"Far EastTone Telecommunication Co., Ltd.",2019-10-07 18:06:22 +0800
4056337,harry,女,曉倩,"喜歡我的小哥哥可以加我賴哦  wttkk  記得給我發訊息哦 
不經常玩古耐",zh-TW,Data Communication Business Group,2019-10-08 16:01:43 +0800
4055973,harry,女,賴wxiaoxi,,zh-TW,Data Communication Business Group,2019-10-07 18:04:57 +0800
3968218,harry,女,加賴nmdbc,,zh-TW,CHINA UNICOM China169 Backbone,2019-10-07 18:05:21 +0800
4055821,harry,女,賴聊tu733,,zh-TW,"Taiwan Mobile Co., Ltd.",2019-10-07 18:04:59 +0800
4025001,harry,女,束jq0515負,"賴jq0515  跳舞, 唱歌, 籃球, 電影, 攝影,",zh-TW,HKT Limited,2019-10-08 16:32:49 +0800
4055418,harry,女,梓涵賴ZQ九九八六,,zh-TW,Data Communication Business Group,2019-10-07 18:05:13 +0800
4054809,harry,女,婉婷賴hy568,,zh-TW,Data Communication Business Group,2019-10-07 18:05:16 +0800
3968153,harry,女,小鹿鹿  瀨ac966,,zh-TW,"Amazon.com, Inc.",2019-10-08 11:58:46 +0800
4045715,harry,女,宅女,"吃美食, 旅遊, 電影真心交友可加賴kqt20",zh-TW,Guangdong Mobile Communication Co.Ltd.,2019-10-08 12:58:12 +0800
4042291,harry,女,你想要的 下一句是什麼,我叫子怡 目前單身 相遇就是緣分 有想一起吃飯 逛街 看電影交個朋友 喜歡的可以加我聊喔 我賴ID:yq678等你唷 加了記得密我喔,zh-TW,Sony Network Taiwan Limited,2019-10-08 16:48:35 +0800
4048404,harry,女,夫妻共用,"我們是夫妻
聊天的內容不限 
接起電話時 
聊的來可留賴
",zh-TW,Data Communication Business Group,2019-10-14 11:14:55 +0800
3263415,harry,女,阿戰 賴7788999jordan,"聽音樂, 吃美食, 籃球, 唱歌, 跳舞, 看書, 逛街, 寵物, 旅遊, 攝影, 電影, ",zh-TW,Mobile Business Group,2019-10-07 18:06:07 +0800
